objectid_1,objectid,acreage,sqft,final_cat,type_,sector,origpkname,updatepknm,alterntnam,divname,shape_leng,globalid,created_user,created_date,last_edited_user,last_edited_date,maintenanceresponsibility,Shape__Area,Shape__Length,GlobalID_2
39,39,0.08777817,3823.61718494,Beautification Site,BTF,14,Craft Triangle,Craft Triangle,Craft Triangle,Schenley,249.4495686,ed06cbc2-d61c-453c-a61f-0b2f2aea4fac,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,3rd Division,3.77056846875597e-08,0.00080749065164727,34c8c64d-7bbb-4402-9a17-dc8e6a326b64
40,40,0.34412235,14989.9697058,Neighborhood Park,NP,4,Crafton Heights Tot Lot,Crafton Heights Park,Crafton Heights Park,Western,540.46194742,9fdbedd7-5f9c-4171-a8f3-abe2b238437f,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Western,1.47820687554229e-07,0.00180022657422378,8b54fe4f-1073-41d8-954c-a642567bab0f
41,41,0.15442394,6726.70661301,Public School,SCH,11,Crescent School,Crescent School,Falson School,Eastern,345.24365468,222181fd-ed02-4c3c-819a-8dbea5c5bdea,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,,6.63512746431755e-08,0.00113882832937736,9524e982-163c-4240-824b-7b97f5680a5f
42,42,0.29604287,12895.6273738,Neighborhood Park,NP,2,Cross & Strauss Parklet,Cross and Strauss Park,Cross and Strauss Park,Northern,474.7128683,f9c675a5-8da5-4e06-a308-2cf81ad5cc8f,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Northern,1.2722135549451e-07,0.00147317998533329,caeff0bf-693a-49c8-a8c4-cf55c7b4e817
43,43,1.44350667,62879.1506312,Beautification Site,BTF,16,Crosstown,Crosstown,Crosstown,State,3253.17820117,c67f0e1f-0472-4b30-9f55-8976660546c9,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,6th Division,6.20112854573609e-07,0.0105115437810437,f6d49948-8233-43a3-a3dd-28a48008aec3
44,44,7.22025607,314514.354515,Neighborhood Park,NP,13,Curto Park,Frank Curto Park,Frank Curto Park,State,4947.79134007,789bcaf2-11c5-4ada-82e8-e03ad3899319,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Schenley,3.10218765776601e-06,0.0169175867144595,0f2500a6-36bf-437a-aae4-61c564e75a60
45,45,0.42852329,18666.4744405,Neighborhood Park,NP,11,Dallas Parklet,Dallas Park,Dallas Park,Eastern,575.21234312,7833f211-ee2a-44e4-997d-d83ed7f19972,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Eastern,1.84134029037537e-07,0.00185814361183576,da9d5bcc-06ec-4864-9915-58c7d5afa832
46,46,1.50196208,65425.4679939,Neighborhood Park,NP,10,Davis Parklet,Davis Park,Davis Park,Eastern,1052.34532258,0c5ad046-197c-4180-b444-321700e6bbf9,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Eastern,6.45143673497608e-07,0.00350572282349883,f9e06d15-8b9a-4852-b61c-0d780389c4d4
47,47,1.09754411,47809.021232,Neighborhood Park,NP,13,Denny Parklet,Denny Park,Denny Park,State,1158.75039968,8c670a48-12e6-4067-9a59-a19f53d1aeea,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Northeast,4.71605957218145e-07,0.00373802432466607,9a611adf-a2a6-4908-8808-bf329f301927
48,48,6.53708981,284755.631926,Neighborhood Park,NP,7,Devlin Field,Devlin Field,Devlin Field,Southern,2721.8691953,dd1c0a48-cb15-4324-acd9-3a88008cf1ed,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Southern,2.8071313267085e-06,0.0085192517258901,b95206c8-a0e7-4ace-8c7a-72df8485c6cc
49,49,16.42176269,715331.982759,Community Park,CP,13,Dinan Playground,Dinan Park,Dinan Park,Northeast,4324.05085525,6ae57e29-f05f-4863-b819-cd72229aa471,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Northeast,6.20916001747311e-06,0.0119185456716033,29c115f8-0319-4da5-b48a-793dee664bff
50,50,6.74568843,293842.188126,Neighborhood Park,NP,4,Dunbar Playground,Dunbar Park,Dunbar Park,Western,2666.55630682,5d9753a7-660a-4015-abb1-96fb651a03cf,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Western,2.89776479738991e-06,0.00869072301900371,cb99efbd-dd84-456c-89fe-06eb4873d2d9
51,51,0.80543447,35084.7253977,Neighborhood Park,NP,13,Duncan Parklet,Duncan Park,Duncan Park,Northeast,765.09522208,11bb27fa-771b-4ed0-92e5-c66f27b8e336,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Northeast,3.46204267247747e-07,0.0024688062069392,bc1e8ad0-9a72-48a6-9da2-70724c63f07f
52,52,0.47028362,20485.5546527,Neighborhood Park,NP,4,East Carnegie Parklet,East Carnegie Park,East Carnegie Park,Western,573.2494265,dc099b67-b6ee-46da-bb87-4a7086b3c33a,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Western,2.01950073824656e-07,0.00183367195040208,ea9600d7-1cfe-4ac3-b08a-934132896b3f
53,53,21.97894389,957402.795657,Community Park,CP,3,East Common Park,Allegheny Commons,Allegheny Commons Park,State,8643.01965726,ed54111f-f829-49c1-87b0-4f0e06c2ccaa,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Northern,2.57538877181971e-05,0.0688650961273996,d0d7423f-df9b-4d9c-814c-3dbd355cd3b1
54,54,11.13587871,485078.876651,Community Park,CP,11,East Hills Park,East Hills Park,East Hills Park,Eastern,3990.46535446,ef396672-2c4a-4eda-ae69-204f645a1602,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Eastern,4.7847009692742e-06,0.0125312364309403,b7b25865-c912-46d7-a651-f859670188a5
55,55,1.4448592,62938.0665613,Neighborhood Park,NP,12,East Liberty Park,East Liberty Park,East Liberty Park,Northeast,1034.36708588,6923ce76-354b-49a4-9ce6-998975b27c1b,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Eastern,6.20886339858998e-07,0.0033725081796861,0c7d4e3d-0d3e-4447-a537-7f983763a61b
56,56,2.51002137,109336.530817,Beautification Site,BTF,12,East Liberty Strip,East Liberty Strip,East Liberty Strip,Northeast,8837.89098497,8121f4fa-9924-4f9a-8873-2f401c09de85,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,2nd Division,1.07865156817176e-06,0.0290403425422491,e559ed92-4096-4f41-a6b0-9737021b4313
57,57,0.00165398,72.04720192,Beautification Site,BTF,10,Edgerton Circle,Edgerton Circle,Edgerton Circle,Eastern,30.2251192,aaa0ea46-f889-43ee-92a4-8d2cb5f28154,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,3rd Division,7.10601444823902e-10,9.62510989183287e-05,c641c7f0-513e-4398-aed5-7374240de20b
58,58,0.85384695,37193.5729709,Regional Park,RP,6,Eileen McCoy Parklet,Emerald View Park - Eileen McCoy Park,Emerald View Regional Park (Eileen McCoy Park),Western,780.26813719,85e78b3f-6464-4be8-a756-695779735770,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Western,3.66787472128138e-07,0.00247653532693406,1fb5aff4-47ec-4d55-9f0d-85b420dbb63b
59,59,0.61773159,26908.3882752,Neighborhood Park,NP,7,Eleanor St Parklet,Eleanor Street Park,Eleanor Street Park,Southern,649.21057742,601181be-4c7c-482e-b656-cfa5d7602552,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Southern,2.65293778156565e-07,0.00206726866486845,9a300bd8-422e-4869-9e51-5ff256d2993a
60,60,2.33476802,101702.494793,Neighborhood Park,NP,12,Enright Parklet,Enright Park,Enright Park,Northeast,1394.57267633,37c10cb4-aa70-4cac-9887-6221b5664713,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Northeast,1.00329618468882e-06,0.00435955423984448,198917ba-7ee7-44ea-9446-9d79c9c55a29
61,61,0.19478741,8484.93952479,Neighborhood Park,NP,4,Esplen Tot Lot,Esplen Park,Esplen Park,Western,365.82805247,3be60947-2c73-4a72-b6d0-3461abc6e3d2,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Western,8.37025000269125e-08,0.00117598723999131,87c90456-39e8-4306-b57e-8da314e75ca4
62,62,3.5548621,154849.792981,Neighborhood Park,NP,4,Fairywood Playground,Fairywood Park,Fairywood Park,Western,1580.61786622,b14e6db3-cd9c-4ce2-9b58-aa2632b7a75f,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Western,1.52730300726168e-06,0.00508453583983261,6a168ac3-1823-4a57-945b-f1459893cd81
63,63,2.08455277,90803.1188369,Neighborhood Park,NP,13,Fifty-Seventh St Playground,Fifty-Seventh Street Park,Fifty-Seventh Street Park,Northeast,1535.49617355,31373659-cf0f-4036-9c4b-b23dc2763456,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Northeast,8.96089076513146e-07,0.00495080060583218,038c4998-3422-46b3-affb-e3eba145938d
64,64,3.12901289,136299.801533,Neighborhood Park,NP,3,Fineview Field,Fineview Field,Fineview Field,Northern,1791.9436509,21784547-a11b-4006-ad6c-9b27cf995c19,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Northern,1.48470856183762e-06,0.005402574876932,f5a352b5-a803-4e53-bc55-ee17e07c437e
65,65,1.76196512,76751.2005564,Neighborhood Park,NP,3,Fineview Playground,Fineview Park,Fineview Park,Northern,1108.51197838,db4b7e9e-0652-4636-8213-593a7cfc5953,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Northern,7.57149270988157e-07,0.00358006386323174,43654ca8-4b0b-4feb-ad59-617efdae1277
66,66,9.47866553,412890.670511,Neighborhood Park,NP,12,Fort Pitt Playground,Fort Pitt Park,Fort Pitt Park,Northeast,3309.67418793,af65aeef-0944-4a0c-936f-96ea81bec49b,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Northeast,4.07362410921566e-06,0.0107866523735743,f693b0e8-7257-4f0b-b3c5-3e73794f92c5
67,67,1.76411757,76844.9615173,Neighborhood Park,NP,9,Four Mile Run Playground,Four Mile Run Park,Four Mile Run Park,Schenley,2243.35767795,5add2480-4844-49fa-97f4-adba23a96075,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Schenley,7.57694411232704e-07,0.0071579060904934,43e74d40-a2f5-42d5-8d71-63b152f74ada
69,69,4.54111261,197810.865255,Beautification Site,BTF,12,Frankstown Triangle 1 & 2,Frankstown Triangle 1 & 2,Frankstown Triangle 1 & 2,Northeast,3139.28567015,732bc31d-d5bf-4d93-b8be-795a9bdeaf77,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,2nd Division,1.95137747889775e-06,0.00950067646435548,1649938f-9173-412c-9b56-65486167b796
70,70,3.43396304,149583.429927,Neighborhood Park,NP,14,Frazier Playground,Frazier Park,Frazier Park,Schenley,1740.35286534,f31f2520-2ab6-4e6b-8999-82166ba2e957,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Schenley,1.4749349475584e-06,0.00561845135577791,32e9943e-9490-4836-b802-9911e2275f35
